,0
0,1979-02-04
1,1979-02-11
2,1979-02-18
3,1979-02-25
4,1979-03-04
5,1979-03-11
6,1979-03-18
7,1979-03-25
8,1979-04-01
9,1979-04-08
10,1979-04-15
11,1979-04-22
12,1979-04-29
13,1979-05-06
14,1979-05-13
15,1979-05-20
16,1979-05-27
17,1979-06-03
18,1979-06-10
19,1979-06-17
20,1979-06-24
21,1979-07-01
22,1979-07-08
23,1979-07-15
24,1979-07-22
25,1979-07-29
26,1979-08-05
27,1979-08-12
28,1979-08-19
29,1979-08-26
30,1979-09-02
31,1979-09-09
32,1979-09-16
33,1979-09-23
34,1979-09-30
35,1979-10-07
36,1979-10-14
37,1979-10-21
38,1979-10-28
39,1979-11-04
40,1979-11-11
41,1979-11-18
42,1979-11-25
43,1979-12-02
44,1979-12-09
45,1979-12-16
46,1979-12-23
47,1979-12-30
48,1980-01-06
49,1980-01-13
50,1980-01-20
51,1980-01-27
52,1980-02-03
53,1980-02-10
54,1980-02-17
55,1980-02-24
56,1980-03-02
57,1980-03-09
58,1980-03-16
59,1980-03-23
60,1980-03-30
61,1980-04-06
62,1980-04-13
63,1980-04-20
64,1980-04-27
65,1980-05-04
66,1980-05-11
67,1980-05-18
68,1980-05-25
69,1980-06-01
70,1980-06-08
71,1980-06-15
72,1980-06-22
73,1980-06-29
74,1980-07-06
75,1980-07-13
76,1980-07-20
77,1980-07-27
78,1980-08-03
79,1980-08-10
80,1980-08-17
81,1980-08-24
82,1980-08-31
83,1980-09-07
84,1980-09-14
85,1980-09-21
86,1980-09-28
87,1980-10-05
88,1980-10-12
89,1980-10-19
90,1980-10-26
91,1980-11-02
92,1980-11-09
93,1980-11-16
94,1980-11-23
95,1980-11-30
96,1980-12-07
97,1980-12-14
98,1980-12-21
99,1980-12-28
100,1981-01-04
101,1981-01-11
102,1981-01-18
103,1981-01-25
104,1981-02-01
105,1981-02-08
106,1981-02-15
107,1981-02-22
108,1981-03-01
109,1981-03-08
110,1981-03-15
111,1981-03-22
112,1981-03-29
113,1981-04-05
114,1981-04-12
115,1981-04-19
116,1981-04-26
117,1981-05-03
118,1981-05-10
119,1981-05-17
120,1981-05-24
121,1981-05-31
122,1981-06-07
123,1981-06-14
124,1981-06-21
125,1981-06-28
126,1981-07-05
127,1981-07-12
128,1981-07-19
129,1981-07-26
130,1981-08-02
131,1981-08-09
132,1981-08-16
133,1981-08-23
134,1981-08-30
135,1981-09-06
136,1981-09-13
137,1981-09-20
138,1981-09-27
139,1981-10-04
140,1981-10-11
141,1981-10-18
142,1981-10-25
143,1981-11-01
144,1981-11-08
145,1981-11-15
146,1981-11-22
147,1981-11-29
148,1981-12-06
149,1981-12-13
150,1981-12-20
151,1981-12-27
152,1982-01-03
153,1982-01-10
154,1982-01-17
155,1982-01-24
156,1982-01-31
157,1982-02-07
158,1982-02-14
159,1982-02-21
160,1982-02-28
161,1982-03-07
162,1982-03-14
163,1982-03-21
164,1982-03-28
165,1982-04-04
166,1982-04-11
167,1982-04-18
168,1982-04-25
169,1982-05-02
170,1982-05-09
171,1982-05-16
172,1982-05-23
173,1982-05-30
174,1982-06-06
175,1982-06-13
176,1982-06-20
177,1982-06-27
178,1982-07-04
179,1982-07-11
180,1982-07-18
181,1982-07-25
182,1982-08-01
183,1982-08-08
184,1982-08-15
185,1982-08-22
186,1982-08-29
187,1982-09-05
188,1982-09-12
189,1982-09-19
190,1982-09-26
191,1982-10-03
192,1982-10-10
193,1982-10-17
194,1982-10-24
195,1982-10-31
196,1982-11-07
197,1982-11-14
198,1982-11-21
199,1982-11-28
200,1982-12-05
201,1982-12-12
202,1982-12-19
203,1982-12-26
204,1983-01-02
205,1983-01-09
206,1983-01-16
207,1983-01-23
208,1983-01-30
209,1983-02-06
210,1983-02-13
211,1983-02-20
212,1983-02-27
213,1983-03-06
214,1983-03-13
215,1983-03-20
216,1983-03-27
217,1983-04-03
218,1983-04-10
219,1983-04-17
220,1983-04-24
221,1983-05-01
222,1983-05-08
223,1983-05-15
224,1983-05-22
225,1983-05-29
226,1983-06-05
227,1983-06-12
228,1983-06-19
229,1983-06-26
230,1983-07-03
231,1983-07-10
232,1983-07-17
233,1983-07-24
234,1983-07-31
235,1983-08-07
236,1983-08-14
237,1983-08-21
238,1983-08-28
239,1983-09-04
240,1983-09-11
241,1983-09-18
242,1983-09-25
243,1983-10-02
244,1983-10-09
245,1983-10-16
246,1983-10-23
247,1983-10-30
248,1983-11-06
249,1983-11-13
250,1983-11-20
251,1983-11-27
252,1983-12-04
253,1983-12-11
254,1983-12-18
255,1983-12-25
256,1984-01-01
257,1984-01-08
258,1984-01-15
259,1984-01-22
260,1984-01-29
261,1984-02-05
262,1984-02-12
263,1984-02-19
264,1984-02-26
265,1984-03-04
266,1984-03-11
267,1984-03-18
268,1984-03-25
269,1984-04-01
270,1984-04-08
271,1984-04-15
272,1984-04-22
273,1984-04-29
274,1984-05-06
275,1984-05-13
276,1984-05-20
277,1984-05-27
278,1984-06-03
279,1984-06-10
280,1984-06-17
281,1984-06-24
282,1984-07-01
283,1984-07-08
284,1984-07-15
285,1984-07-22
286,1984-07-29
287,1984-08-05
